"lfdn";"external_lfdn";"tester";"dispcode";"lastpage";"quality";"duration";"p_0001";"browser";"referer";"device_type";"quota";"quota_assignment";"quota_rejected_id";"page_history";"hflip";"vflip";"output_mode";"javascript";"flash";"session_id";"language";"cleaned";"ats";"datetime";"date_of_last_access";"date_of_first_mail";"v_2889";"v_2890";"v_2891";"v_2892";"v_1752";"v_1751";"v_1749";"v_1750";"v_1747";"v_1748";"v_1753";"v_1762";"v_2937";"v_2938";"dupl1_v_69";"v_71";"v_2851";"v_2852";"v_2853";"v_2854";"v_2855";"v_2856";"v_1709";"v_1710";"v_1711";"v_1712";"v_1713";"v_1714";"v_1715";"v_1717";"v_1718";"v_1720";"v_1722";"v_1724";"v_1726";"v_1728";"v_1730";"v_1732";"v_1734";"v_1707";"v_1719";"v_2894";"v_2895";"v_2896";"v_2897";"v_2898";"v_2899";"v_2900";"v_2901";"v_2902";"v_2903";"v_2904";"v_2905";"v_2906";"v_2907";"v_2908";"v_2909";"v_2910";"v_2911";"v_2918";"v_2702";"v_2703";"v_2704";"v_2705";"v_2706";"v_2707";"v_2708";"v_2709";"v_2710";"v_2711";"v_2712";"v_2713";"v_2714";"v_2715";"v_2716";"v_2717";"v_2718";"v_2719";"v_2720";"v_2721";"v_2722";"v_2723";"v_2724";"v_2725";"v_2726";"v_2727";"v_2728";"v_2729";"v_2730";"v_2731";"v_2732";"v_2733";"v_2734";"v_2735";"v_2736";"v_2737";"v_2738";"v_2739";"v_2740";"v_2741";"v_2742";"v_2743";"v_2744";"v_2745";"v_2746";"v_2747";"v_2748";"v_2749";"v_2750";"v_2751";"v_2752";"v_2753";"v_2754";"v_2755";"v_2756";"v_2757";"v_2758";"v_2759";"v_2760";"v_2761";"v_2762";"v_2763";"v_2764";"v_2765";"v_2766";"v_2767";"v_2768";"v_2769";"v_2770";"v_2771";"v_2772";"v_2773";"v_2774";"v_2775";"v_2776";"v_2777";"v_2778";"v_2779";"v_2780";"v_2781";"v_2782";"v_2783";"v_2785";"v_2787";"v_2789";"v_2791";"v_2793";"v_2795";"v_2797";"v_2799";"v_2784";"v_2786";"v_2788";"v_2790";"v_2792";"v_2794";"v_2796";"v_2798";"v_2800";"v_2801";"v_2802";"v_2803";"v_2804";"v_2805";"v_2806";"v_2807";"v_2808";"v_2809";"v_1573";"v_1574";"v_1575";"v_2936";"v_2919";"v_1588";"v_1589";"v_1590";"v_1591";"v_1592";"v_1593";"v_1594";"v_1595";"v_2934";"v_1599";"v_1600";"v_1601";"v_1577";"v_1578";"v_1579";"v_2922";"v_2923";"v_2924";"v_2925";"v_2926";"v_2927";"v_2928";"v_2929";"v_1596";"v_1597";"v_1598";"v_1625";"v_1626";"v_1627";"v_1628";"v_1629";"v_1630";"v_1631";"v_1632";"v_1633";"v_1634";"v_1635";"v_1754";"v_2884";"v_2885";"v_2886";"v_2887";"v_1642";"v_1643";"v_1644";"v_1645";"v_1646";"v_1647";"v_2931";"v_2932";"v_2933";"v_1658";"v_1659";"v_1660";"v_1661";"v_1662";"v_1663";"v_1664";"v_1665";"v_2920";"rts7288964";"rts7288965";"rts7288966";"rts7288969";"rts7288970";"rts7288971";"rts7288972";"rts7288973";"rts7288974";"rts7288975";"rts7288976";"rts7288977";"rts7288978";"rts7288979";"rts7288980";"rts7288981";"rts7288982";"rts7288983";"rts7288986";"rts7288987";"rts7288988";"rts7288989";"rts7288990"
244;0;0;31;7288991;-77;1554;"32712281";"Mozilla/5.0 (Linux; Android 9; MRD-LX1 Build/HUAWEIMRD-LX1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/109.0.5414.117 Mobile Safari/537.36 NorstatApp/4.4.0";"https://norstatsurveys.com/";0;8;"8,4,2";0;"7288964,7288965,7288966,7288967,7288969,7288970,7288971,7288972,7288973,7288974,7288975,7288976,7288977,7288978,7288979,7288980,7288981,7288982,7288983,7288984,7288986,7288987,7288988,7288989,7288990,7288991";0;1;0;-77;-77;"4937fd94df668c6b2c5606d7cad323de";1;0;1676474159;"15.02.2023 15:15";"15.02.2023 15:41";"0000-00-00 00:00:00";1;1;1;1;2;50;2;"-99";1;"-99";6;1;6;"-99";4;5;2;3;1;2;2;2;3;6;1;5;5;6;5;5;1;1;5;5;1;3;1;5;5;6;"-99";-77;-77;2;-77;-77;-77;-77;-77;3;5;-77;-77;1;-77;4;-77;-77;-77;"-99";2;-77;1;3;3;-77;3;5;1;1;3;3;1;1;1;3;2;-77;2;-77;3;3;3;-77;3;4;4;3;3;3;3;1;4;1;3;-77;3;-77;1;3;3;-77;3;3;3;3;3;3;3;1;3;2;3;-77;3;-77;1;2;3;-77;3;3;2;2;3;3;1;2;1;2;3;-77;3;-77;3;3;3;-77;3;3;1;1;3;3;3;3;2;3;3;-77;2;-77;3;3;3;-77;3;3;3;3;3;3;2;1;3;2;3;-77;2;2;3;1;"-99";1;0;0;0;1;0;0;0;0;1;4;4;3;2;2;2;2;2;3;4;2;2;4;2;3;3;2;2;3;3;4;4;4;4;2;2;3;1;2;2;3;1;2;2;1;2;2;2;3;3;3;1;1;5;4;1;1;4;1;"-99";16;45;97;113;169;290;342;348;813;839;967;1046;1051;1060;1080;1132;1201;1297;1342;1405;1472;1548;1554
245;0;0;31;7288991;-77;808;"20171027";"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/109.0";"https://norstatsurveys.com/";0;3;"3,8,2";0;"7288964,7288965,7288966,7288967,7288969,7288970,7288971,7288971,7288971,7288971,7288971,7288972,7288973,7288974,7288975,7288976,7288977,7288978,7288979,7288980,7288981,7288982,7288983,7288984,7288986,7288986,7288986,7288987,7288988,7288989,7288989,7288989,7288990,7288991";1;0;0;-77;-77;"9ddf6ca3a856f6b5aed7cb6f122b901b";1;0;1676475769;"15.02.2023 15:42";"15.02.2023 15:56";"0000-00-00 00:00:00";1;1;1;1;1;51;2;"-99";1;"-99";2;1;6;"eigenes Haus";4;11;2;2;2;2;2;3;4;4;6;6;3;4;6;6;4;6;4;6;4;2;1;4;6;6;"-99";-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;"-66";3;3;-77;-77;3;3;-77;-77;3;-77;3;-77;3;3;3;3;-77;-77;3;3;-77;-77;3;3;-77;-77;3;-77;3;-77;3;3;3;3;-77;-77;3;3;-77;-77;3;3;-77;-77;3;-77;3;-77;3;3;3;3;-77;-77;3;3;-77;-77;3;3;-77;-77;3;-77;3;-77;3;3;3;3;-77;-77;3;3;-77;-77;3;3;-77;-77;3;-77;3;-77;3;3;3;3;-77;-77;3;3;-77;-77;3;3;-77;-77;3;-77;3;-77;3;3;3;3;-77;-77;3;3;3;2;"-99";0;0;0;0;1;0;0;0;0;2;3;3;2;1;2;2;3;2;3;3;2;2;3;3;3;3;3;3;3;3;2;2;2;2;2;2;3;1;2;2;2;2;3;3;2;2;2;3;4;3;3;1;1;5;2;1;1;5;1;"-99";14;27;47;53;74;158;161;165;229;277;544;556;559;564;572;595;627;673;690;721;758;805;808
246;0;0;31;7288991;-77;1012;"1958968";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36 Edg/110.0.1587.41";"https://norstatsurveys.com/";0;8;"8,4,2";0;"7288964,7288965,7288966,7288967,7288969,7288970,7288971,7288972,7288973,7288974,7288975,7288976,7288977,7288978,7288979,7288980,7288981,7288982,7288983,7288984,7288986,7288987,7288988,7288989,7288990,7288991";1;0;0;-77;-77;"23d7bfd52efa03779c520f5d9ab816c9";1;0;1676475996;"15.02.2023 15:46";"15.02.2023 16:03";"0000-00-00 00:00:00";1;1;1;1;2;52;1;"-99";1;"-99";1;3;1;"-99";1;3;5;5;5;5;5;5;3;6;6;5;4;6;6;6;6;6;6;6;5;3;5;5;6;0;"-99";-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;"-66";-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;4;2;6;2;"-99";0;0;0;0;1;0;0;0;0;1;5;4;1;3;3;2;4;2;4;5;1;2;5;1;5;5;4;4;4;5;5;5;4;5;2;2;3;1;3;1;1;2;3;2;1;2;3;1;4;4;4;1;2;5;1;2;1;5;1;"-99";11;25;66;87;125;209;220;224;227;246;331;403;408;417;446;517;588;724;804;893;980;1007;1012
247;0;0;31;7288991;-77;713;"32462256";"Mozilla/5.0 (Linux; Android 12; M2102J20SG Build/SKQ1.211006.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/109.0.5414.117 Mobile Safari/537.36 NorstatApp/4.4.0";"https://norstatsurveys.com/";0;7;"7,3,2";0;"7288964,7288965,7288966,7288967,7288969,7288970,7288971,7288972,7288973,7288974,7288975,7288976,7288977,7288978,7288979,7288980,7288981,7288982,7288983,7288984,7288986,7288987,7288988,7288989,7288990,7288991";1;1;0;-77;-77;"51f5ed132909a43ce663e9c1f73ce552";1;0;1676476191;"15.02.2023 15:49";"15.02.2023 16:01";"0000-00-00 00:00:00";1;1;1;1;1;40;3;"-99";2;"-99";7;3;1;"-99";3;11;2;2;2;3;2;2;6;6;4;6;6;6;6;6;3;6;6;6;6;3;6;4;6;4;"-99";-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;"-66";-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;3;3;3;1;"-99";0;0;1;0;1;0;0;0;0;2;5;5;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;5;5;5;4;4;4;3;1;2;1;1;1;1;2;2;2;1;2;2;2;3;4;4;1;2;5;5;1;1;5;1;"-99";9;17;43;52;82;150;162;165;167;185;196;221;226;232;247;279;332;436;489;570;683;709;713
248;0;0;31;7288991;-77;1073;"1906916";"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/110.0";"https://norstatsurveys.com/";0;8;"8,4,2";0;"7288964,7288965,7288966,7288967,7288969,7288970,7288971,7288972,7288973,7288974,7288974,7288974,7288975,7288976,7288977,7288978,7288979,7288980,7288981,7288982,7288982,7288982,7288983,7288984,7288986,7288987,7288988,7288989,7288989,7288989,7288990,7288991";1;1;0;-77;-77;"f444fda4725a8049682ad7efc6edda61";1;0;1676476470;"15.02.2023 15:54";"15.02.2023 16:12";"0000-00-00 00:00:00";1;1;1;1;2;53;2;"-99";1;"-99";2;1;6;"?";3;7;1;1;2;1;1;2;3;2;2;3;3;2;4;5;1;3;1;2;1;2;4;2;1;0;"-99";-77;-77;-77;-77;-77;-77;-77;-77;3;-77;4;-77;2;-77;-77;-77;5;-77;"-99";1;1;2;2;2;3;3;3;2;2;1;2;1;4;2;1;1;0;1;2;3;1;3;2;2;4;3;2;2;2;2;1;3;1;2;0;3;2;1;2;5;3;4;5;4;2;4;2;4;3;4;2;5;0;5;1;1;1;5;1;1;1;2;1;1;1;1;5;1;3;1;0;4;2;2;2;5;2;3;2;1;2;2;2;2;2;2;2;2;0;1;3;3;2;5;2;4;4;3;2;3;3;1;1;3;1;2;0;1;2;2;1;"-99";1;1;1;0;1;0;0;0;0;1;3;5;1;2;2;1;5;2;3;2;3;1;1;2;1;3;1;1;2;3;4;4;5;4;2;2;4;1;1;2;2;3;3;3;2;2;4;3;4;4;4;2;1;5;4;1;1;4;2;"-99";6;18;40;43;83;219;248;252;563;567;597;615;617;619;638;674;735;812;850;915;999;1071;1073
250;0;0;31;7288991;-77;426;"30262036";"Mozilla/5.0 (Linux; Android 10; SNE-LX1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Mobile Safari/537.36";"https://norstatsurveys.com/";0;7;"7,4,2";0;"7288964,7288965,7288966,7288967,7288969,7288970,7288971,7288972,7288973,7288974,7288975,7288976,7288977,7288978,7288979,7288980,7288981,7288982,7288983,7288984,7288986,7288987,7288988,7288989,7288990,7288991";1;0;0;-77;-77;"d5484fd7f8182923ccec9d349086634e";1;0;1676477767;"15.02.2023 16:16";"15.02.2023 16:23";"0000-00-00 00:00:00";1;1;1;1;2;46;3;"-99";1;"-99";9;1;6;"-99";4;1;3;2;4;2;4;2;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;"-99";-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;"-66";-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;4;2;6;2;"-99";0;0;0;0;0;0;0;0;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;3;4;4;2;3;4;3;1;3;4;3;5;3;5;3;2;5;5;5;5;3;4;2;5;1;3;1;3;5;"-99";8;17;43;47;74;112;117;121;124;130;168;183;186;189;195;224;248;297;326;361;402;423;426
252;0;0;31;7288991;-77;2723;"1970980";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36 Edg/110.0.1587.41";"https://norstatsurveys.com/";0;7;"7,4,2";0;"7288964,7288965,7288966,7288967,7288969,7288970,7288971,7288972,7288973,7288974,7288974,7288974,7288975,7288976,7288977,7288978,7288979,7288980,7288981,7288982,7288983,7288984,7288986,7288987,7288988,7288989,7288989,7288989,7288990,7288991";1;1;0;-77;-77;"d2cd8803b06cc2b08584f3c727faaa87";1;0;1676478170;"15.02.2023 16:22";"15.02.2023 17:08";"0000-00-00 00:00:00";1;1;1;1;2;45;1;"-99";1;"-99";4;1;6;"Haus";4;5;3;3;2;4;2;3;4;5;4;4;4;4;5;5;1;5;5;4;3;4;4;4;4;0;"-99";-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;"-66";3;4;3;2;3;3;4;4;2;3;3;3;3;2;2;3;3;3;2;3;3;5;4;3;5;5;5;5;3;5;2;1;5;2;3;0;5;5;2;2;5;5;5;5;5;5;5;5;5;2;5;5;5;0;4;3;3;2;5;5;4;4;5;3;5;3;3;5;2;5;2;0;5;5;5;2;3;4;3;4;2;4;4;4;5;5;4;4;5;0;4;4;4;4;4;4;4;4;5;4;4;4;4;2;4;4;4;0;3;2;4;2;"-99";1;1;0;0;1;0;0;0;0;2;3;4;2;2;3;2;2;3;2;3;2;2;3;2;2;3;2;2;2;3;5;5;5;5;2;2;1;1;2;2;3;1;3;3;4;3;4;3;3;4;4;1;2;5;1;2;1;2;2;"-99";31;44;112;334;356;634;668;674;879;915;962;992;997;1003;1017;2039;2071;2130;2457;2492;2681;2719;2723
253;0;0;31;7288991;-77;856;"1928938";"Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/109.0";"https://norstatsurveys.com/";0;8;"8,4,2";0;"7288964,7288965,7288966,7288967,7288969,7288970,7288971,7288972,7288973,7288974,7288975,7288976,7288977,7288978,7288979,7288980,7288981,7288982,7288983,7288984,7288986,7288987,7288988,7288989,7288990,7288991";1;1;0;-77;-77;"8e13b29614bba802a3b6a46b34b57927";1;0;1676478457;"15.02.2023 16:27";"15.02.2023 16:41";"0000-00-00 00:00:00";1;1;1;1;2;59;1;"-99";3;"-99";7;3;1;"-99";1;1;1;3;1;1;1;3;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;0;"-99";-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;"-66";-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;3;1;1;2;"-99";0;1;0;0;0;0;0;0;0;1;5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;5;5;5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;3;3;1;1;5;1;1;1;5;1;"-99";313;323;345;349;375;411;414;416;449;453;511;526;533;544;555;583;613;683;706;745;784;853;856
254;0;0;31;7288991;-77;746;"20191029";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36";"https://norstatsurveys.com/";0;8;"8,4,2";0;"7288964,7288965,7288966,7288967,7288969,7288970,7288971,7288972,7288973,7288974,7288975,7288976,7288977,7288978,7288979,7288980,7288981,7288981,7288981,7288982,7288983,7288983,7288983,7288984,7288986,7288987,7288988,7288989,7288989,7288989,7288990,7288991";0;1;0;-77;-77;"a8aae8c7a822c7dee98260676e30e6f0";1;0;1676479500;"15.02.2023 16:45";"15.02.2023 16:57";"0000-00-00 00:00:00";1;1;1;1;2;51;2;"-99";1;"-99";3;1;6;"-99";3;7;3;4;3;1;1;4;2;6;6;6;6;6;6;6;6;6;6;6;6;1;6;3;5;0;"-99";-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;"-66";2;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;2;-77;2;4;2;1;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;1;-77;1;4;0;4;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;4;-77;4;4;4;2;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;2;-77;3;4;3;5;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;5;-77;5;5;5;2;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;2;-77;2;3;2;4;3;2;2;"-99";1;1;1;0;1;0;0;0;0;1;3;4;2;3;3;2;3;3;3;4;2;2;4;2;3;4;5;5;5;5;2;5;4;2;1;1;4;1;1;1;1;1;1;1;1;2;1;1;4;5;5;1;1;5;5;1;1;4;1;"-99";9;72;99;103;129;187;192;199;286;290;339;372;376;382;402;451;487;556;579;621;672;743;746
256;0;0;31;7288991;-77;688;"1915925";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36";"https://norstatsurveys.com/";0;6;"6,3,2";0;"7288964,7288965,7288966,7288967,7288969,7288970,7288971,7288971,7288971,7288972,7288973,7288974,7288975,7288976,7288977,7288978,7288979,7288980,7288981,7288982,7288983,7288984,7288986,7288987,7288988,7288989,7288990,7288991";1;0;0;-77;-77;"eb5cb377cfeb153a74382c66e3e5d2f2";1;0;1676480242;"15.02.2023 16:57";"15.02.2023 17:08";"0000-00-00 00:00:00";1;1;1;1;1;37;2;"-99";3;"-99";8;3;3;"-99";2;11;2;1;1;2;1;2;2;5;4;4;6;5;4;1;3;5;6;6;3;1;6;3;6;0;"-99";-77;-77;-77;-77;-77;-77;-77;2;-77;-77;-77;-77;-77;1;-77;-77;-77;-77;"-99";2;4;3;3;-77;3;3;2;2;3;-77;-77;2;1;-77;3;-77;0;2;4;4;4;-77;2;4;5;4;3;-77;-77;2;1;-77;2;-77;0;5;2;2;5;-77;3;3;5;5;5;-77;-77;5;5;-77;5;-77;0;4;4;4;3;-77;3;4;4;4;4;-77;-77;3;4;-77;4;-77;0;5;5;5;5;-77;5;4;1;1;5;-77;-77;5;5;-77;5;-77;0;2;5;5;5;-77;2;4;5;5;3;-77;-77;1;1;-77;2;-77;0;2;2;5;2;"-99";1;0;0;0;0;0;0;0;0;1;3;4;1;1;2;1;3;3;2;3;1;5;2;2;3;4;2;3;3;3;5;5;5;4;1;1;4;1;1;2;1;2;2;2;1;2;3;3;3;3;5;1;1;5;5;1;2;3;1;"-99";8;29;58;62;80;149;168;172;340;350;390;402;405;418;437;466;506;571;586;621;662;685;688
258;0;0;31;7288991;-77;982;"1943953";"Mozilla/5.0 (Linux; Android 12; V2041) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Mobile Safari/537.36";"https://norstatsurveys.com/";0;8;"8,4,2";0;"7288964,7288965,7288966,7288967,7288969,7288970,7288971,7288972,7288973,7288974,7288974,7288975,7288976,7288977,7288977,7288977,7288978,7288979,7288979,7288980,7288981,7288982,7288983,7288984,7288986,7288987,7288988,7288989,7288990,7288991";0;0;0;-77;-77;"cc3875897d7814a250ccec79707c1cea";1;0;1676481149;"15.02.2023 17:12";"15.02.2023 17:28";"0000-00-00 00:00:00";1;1;1;1;2;56;2;"-99";1;"-99";8;3;1;"-99";1;3;2;1;1;1;1;3;3;3;3;3;6;3;4;3;3;3;4;3;4;3;3;3;3;6;"-99";-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;"-66";-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;3;3;3;2;"-99";1;0;1;1;0;1;0;0;0;1;5;5;2;2;2;2;3;2;3;4;4;2;2;2;3;3;1;1;3;1;1;3;2;3;1;1;1;1;1;2;2;3;3;4;1;3;4;4;2;3;3;1;1;5;3;1;1;3;3;"-99";15;40;100;109;144;287;294;308;312;328;362;422;439;443;461;512;605;728;770;842;933;976;982
259;0;0;31;7288991;-77;728;"21611171";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36 Edg/110.0.1587.41";"https://norstatsurveys.com/";0;8;"8,4,2";0;"7288964,7288965,7288966,7288967,7288969,7288970,7288971,7288972,7288973,7288974,7288975,7288976,7288977,7288978,7288979,7288980,7288981,7288982,7288983,7288984,7288986,7288986,7288986,7288987,7288988,7288989,7288990,7288991";0;1;0;-77;-77;"f51365e94a42a60f93ac14512b765fed";1;0;1676481449;"15.02.2023 17:17";"15.02.2023 17:29";"0000-00-00 00:00:00";1;1;1;1;2;55;2;"-99";1;"-99";1;3;1;"-99";2;5;1;1;1;1;1;1;4;5;3;5;5;2;4;6;3;4;5;5;3;4;6;5;4;0;"-99";-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;"-66";-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;1;4;2;3;"-99";1;1;0;0;0;0;0;0;0;3;2;1;1;2;1;1;1;1;3;2;1;1;2;1;3;3;2;1;4;1;5;3;5;3;2;1;3;1;1;1;1;1;2;4;4;4;5;4;3;3;3;2;1;5;3;1;1;1;1;"-99";11;25;59;63;84;160;164;169;187;194;250;306;310;317;338;377;425;523;558;632;700;724;728
261;0;0;31;7288991;-77;620;"1509519";"Mozilla/5.0 (Linux; Android 13; SM-A326B Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/109.0.5414.117 Mobile Safari/537.36 NorstatApp/4.4.0";"https://norstatsurveys.com/";0;5;"5,3,2";0;"7288964,7288965,7288966,7288967,7288969,7288970,7288971,7288972,7288973,7288974,7288975,7288976,7288977,7288978,7288979,7288980,7288981,7288982,7288983,7288984,7288986,7288987,7288988,7288989,7288989,7288989,7288989,7288989,7288990,7288991";1;0;0;-77;-77;"4a629cd70fce403630b6135bffbdb6ff";1;0;1676482625;"15.02.2023 17:37";"15.02.2023 17:47";"0000-00-00 00:00:00";1;1;1;1;1;28;1;"-99";1;"-99";3;3;2;"-99";2;5;1;1;1;1;1;1;2;2;1;4;6;1;4;5;4;1;4;4;1;4;2;4;1;0;"-99";-77;-77;3;-77;-77;3;-77;-77;-77;2;-77;-77;3;-77;-77;-77;3;-77;"-99";1;1;1;1;-77;1;4;4;4;1;1;3;1;4;1;1;1;1;1;1;1;1;-77;1;4;4;4;1;1;4;1;4;1;1;1;1;1;1;1;1;-77;1;4;4;4;1;1;4;1;4;1;1;1;1;1;1;1;1;-77;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-77;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;-77;1;1;1;1;1;1;1;1;1;1;2;1;1;4;4;4;1;"-99";1;1;1;0;0;0;0;0;0;1;5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;2;3;2;3;1;2;1;1;2;1;1;1;1;1;1;3;4;4;4;2;3;3;3;2;3;2;3;3;3;3;3;3;"-99";24;45;72;76;102;177;197;200;422;425;442;451;454;457;472;501;540;556;564;576;586;618;620
